股票代码,股票名称,行业,总市值(亿元),市盈率TTM,市净率,营收(亿元),净利润(亿元),净利率,近120日涨跌幅,近250日涨跌幅,距250日高点回撤,综合分,标记
600283,钱江水利,公用事业,16.79,20.70,1.63,24.37,2.15,0.0883,-0.0986,-0.0433,-0.1454,33.00,
002959,小熊电器,家电行业,36.91,20.20,2.32,53.10,2.88,0.0542,-0.1082,-0.0377,-0.2447,33.00,
002381,双箭股份,橡胶制品,19.61,37.85,1.28,27.40,1.54,0.0561,-0.0324,-0.0380,-0.0848,33.00,
600717,天津港,航运港口,93.72,12.41,0.65,124.60,9.94,0.0797,-0.0367,-0.0747,-0.1920,33.00,
001205,盛航股份,航运港口,10.79,32.87,1.54,14.48,1.37,0.0947,0.0466,-0.0328,-0.1118,33.00,
000025,特  力Ａ,珠宝首饰,11.67,45.59,4.16,17.13,1.37,0.0798,0.0128,-0.0191,-0.1735,33.00,
000507,珠海港,航运港口,32.44,14.47,0.88,43.35,2.92,0.0674,-0.0596,-0.0262,-0.1459,33.00,
001387,雪祺电气,家电行业,14.12,41.04,2.03,19.53,1.02,0.0523,-0.0334,-0.0759,-0.1604,33.00,
600833,第一医药,医药商业,15.39,40.67,2.49,20.85,1.63,0.0782,0.0402,-0.0919,-0.1441,33.00,
600796,钱江生化,环保行业,11.99,25.80,1.52,16.66,1.60,0.0960,0.0067,-0.0322,-0.1162,33.00,
000529,广弘控股,食品饮料,16.89,39.32,1.11,21.42,1.22,0.0568,-0.0274,-0.0050,-0.0794,33.00,
002697,红旗连锁,商业百货,71.08,15.81,1.72,94.65,5.21,0.0551,0.0921,-0.0050,-0.1565,33.00,
000690,宝新能源,电力行业,67.54,8.39,0.73,85.52,7.06,0.0825,-0.1097,-0.0786,-0.1440,33.00,
301327,华宝新能,电源设备,29.42,53.92,1.65,44.15,2.40,0.0543,0.1558,0.0419,-0.2359,32.80,
688617,惠泰医疗,医疗器械,18.67,41.26,11.47,24.08,6.73,0.2795,-0.1567,-0.0113,-0.2674,32.10,
000061,农 产 品,贸易行业,51.98,59.58,2.50,70.07,3.84,0.0548,0.6321,0.4486,0.0000,32.00,
300727,润禾材料,化学制品,10.29,51.42,5.03,13.63,0.96,0.0706,0.3807,0.4975,-0.2225,32.00,
603505,金石资源,采掘行业,27.58,50.87,8.86,36.81,2.57,0.0698,0.2685,0.0591,-0.0709,32.00,
001288,运机集团,工程机械,12.32,51.20,3.34,19.00,1.57,0.0828,0.5660,0.3705,-0.0899,32.00,
301127,武汉天源,环保行业,11.62,56.62,3.21,19.21,3.33,0.1734,-0.0860,0.0335,-0.2530,32.00,
002675,东诚药业,化学制药,20.43,55.41,2.52,27.50,1.84,0.0669,-0.0742,0.0679,-0.2695,30.80,
301382,蜂助手,互联网服务,15.51,55.42,5.36,19.95,1.34,0.0671,0.1754,0.4620,-0.2971,30.30,
000738,航发控制,航天航空,39.68,51.47,2.20,52.39,7.50,0.1432,0.0455,-0.0229,-0.0542,30.00,
002615,哈尔斯,家用轻工,24.37,26.61,2.09,34.01,2.87,0.0843,-0.1170,-0.0354,-0.2852,30.00,
300888,稳健医疗,美容护理,78.97,22.71,1.93,108.05,6.95,0.0644,-0.0340,-0.0551,-0.2859,30.00,
688608,恒玄科技,半导体,29.33,58.27,5.61,37.23,4.60,0.1237,0.0221,-0.0290,-0.2713,29.40,
603219,富佳股份,家电行业,22.91,58.78,5.70,31.35,1.81,0.0578,0.1410,0.1571,-0.2727,29.00,
300758,七彩化学,化学制品,11.19,52.62,2.87,15.33,1.25,0.0815,-0.1421,0.0234,-0.2920,29.00,
002655,共达电声,消费电子,10.41,55.77,6.41,13.79,0.79,0.0572,0.0086,-0.0608,-0.2158,28.50,
